event_id,order_id,event_name,event_timestamp
1,1,CREATED,2026-01-17 12:31:24
2,1,ACCEPTED,2026-01-17 12:35:24
3,1,PREPARING,2026-01-17 12:37:24
4,1,READY,2026-01-17 12:54:24
5,1,PICKED_UP,2026-01-17 13:02:24
6,1,DELIVERED,2026-01-17 13:23:24
7,2,CREATED,2026-01-05 12:24:54
8,2,ACCEPTED,2026-01-05 12:28:54
9,2,PREPARING,2026-01-05 12:30:54
10,2,READY,2026-01-05 12:50:54
11,2,PICKED_UP,2026-01-05 12:54:54
12,2,DELIVERED,2026-01-05 13:16:54
13,3,CREATED,2026-01-09 23:42:54
14,3,ACCEPTED,2026-01-09 23:45:54
15,3,PREPARING,2026-01-09 23:46:54
16,3,READY,2026-01-10 00:08:54
17,3,PICKED_UP,2026-01-10 00:15:54
18,3,DELIVERED,2026-01-10 00:31:54
19,4,CREATED,2026-01-24 19:54:54
20,4,ACCEPTED,2026-01-24 19:58:54
21,4,PREPARING,2026-01-24 20:00:54
22,4,READY,2026-01-24 20:14:54
23,4,PICKED_UP,2026-01-24 20:16:54
24,4,DELIVERED,2026-01-24 20:30:54
25,5,CREATED,2026-01-31 13:21:26
26,5,ACCEPTED,2026-01-31 13:25:26
27,5,PREPARING,2026-01-31 13:27:26
28,5,READY,2026-01-31 13:51:26
29,5,PICKED_UP,2026-01-31 13:56:26
30,5,DELIVERED,2026-01-31 14:33:26
31,6,CREATED,2026-01-03 22:10:24
32,6,ACCEPTED,2026-01-03 22:14:24
33,6,PREPARING,2026-01-03 22:16:24
34,6,READY,2026-01-03 22:43:24
35,6,PICKED_UP,2026-01-03 22:45:24
36,6,DELIVERED,2026-01-03 23:03:24
37,7,CREATED,2026-01-23 00:59:05
38,7,ACCEPTED,2026-01-23 01:01:05
39,7,PREPARING,2026-01-23 01:02:05
40,7,READY,2026-01-23 01:11:05
41,7,PICKED_UP,2026-01-23 01:13:05
42,7,DELIVERED,2026-01-23 01:39:05
43,8,CREATED,2026-01-15 22:23:37
44,8,ACCEPTED,2026-01-15 22:27:37
45,8,PREPARING,2026-01-15 22:30:37
46,8,READY,2026-01-15 22:48:37
47,8,PICKED_UP,2026-01-15 22:52:37
48,8,DELIVERED,2026-01-15 23:20:37
49,9,CREATED,2026-01-13 03:41:59
50,9,ACCEPTED,2026-01-13 03:45:59
51,9,PREPARING,2026-01-13 03:46:59
52,9,READY,2026-01-13 04:00:59
53,9,PICKED_UP,2026-01-13 04:06:59
54,9,CANCELLED,2026-01-13 04:04:59
55,10,CREATED,2026-01-27 16:54:32
56,10,ACCEPTED,2026-01-27 16:58:32
57,10,PREPARING,2026-01-27 17:00:32
58,10,READY,2026-01-27 17:25:32
59,10,PICKED_UP,2026-01-27 17:27:32
60,10,DELIVERED,2026-01-27 17:45:32
61,11,CREATED,2026-01-03 12:07:55
62,11,ACCEPTED,2026-01-03 12:11:55
63,11,PREPARING,2026-01-03 12:12:55
64,11,READY,2026-01-03 12:31:55
65,11,PICKED_UP,2026-01-03 12:34:55
66,11,DELIVERED,2026-01-03 12:47:55
67,12,CREATED,2026-01-25 15:33:26
68,12,ACCEPTED,2026-01-25 15:37:26
69,12,PREPARING,2026-01-25 15:39:26
70,12,READY,2026-01-25 15:58:26
71,12,PICKED_UP,2026-01-25 16:02:26
72,12,DELIVERED,2026-01-25 16:29:26
73,13,CREATED,2026-01-12 14:13:43
74,13,ACCEPTED,2026-01-12 14:14:43
75,13,PREPARING,2026-01-12 14:15:43
76,13,READY,2026-01-12 14:38:43
77,13,PICKED_UP,2026-01-12 14:44:43
78,13,DELIVERED,2026-01-12 15:11:43
79,14,CREATED,2026-01-22 08:59:38
80,14,ACCEPTED,2026-01-22 09:03:38
81,14,PREPARING,2026-01-22 09:06:38
82,14,READY,2026-01-22 09:17:38
83,14,PICKED_UP,2026-01-22 09:19:38
84,14,DELIVERED,2026-01-22 09:37:38
85,15,CREATED,2026-01-26 21:42:54
86,15,ACCEPTED,2026-01-26 21:43:54
87,15,PREPARING,2026-01-26 21:46:54
88,15,READY,2026-01-26 22:03:54
89,15,PICKED_UP,2026-01-26 22:10:54
90,15,DELIVERED,2026-01-26 22:40:54
91,16,CREATED,2026-01-05 21:05:57
92,16,ACCEPTED,2026-01-05 21:07:57
93,16,PREPARING,2026-01-05 21:08:57
94,16,READY,2026-01-05 21:33:57
95,16,PICKED_UP,2026-01-05 21:36:57
96,16,DELIVERED,2026-01-05 21:59:57
97,17,CREATED,2026-01-07 22:44:39
98,17,ACCEPTED,2026-01-07 22:47:39
99,17,PREPARING,2026-01-07 22:50:39
100,17,READY,2026-01-07 23:11:39
101,17,PICKED_UP,2026-01-07 23:16:39
102,17,DELIVERED,2026-01-07 23:46:39
103,18,CREATED,2026-01-15 15:59:50
104,18,ACCEPTED,2026-01-15 16:00:50
105,18,PREPARING,2026-01-15 16:03:50
106,18,READY,2026-01-15 16:22:50
107,18,PICKED_UP,2026-01-15 16:30:50
108,18,CANCELLED,2026-01-15 16:23:50
109,19,CREATED,2026-01-02 14:52:20
110,19,ACCEPTED,2026-01-02 14:55:20
111,19,PREPARING,2026-01-02 14:57:20
112,19,READY,2026-01-02 15:16:20
113,19,PICKED_UP,2026-01-02 15:24:20
114,19,DELIVERED,2026-01-02 15:40:20
115,20,CREATED,2026-01-20 03:42:45
116,20,ACCEPTED,2026-01-20 03:45:45
117,20,PREPARING,2026-01-20 03:48:45
118,20,READY,2026-01-20 04:06:45
